2025-10-24 12:33:21 | DEBUG    | root | Logger initialized
2025-10-24 12:33:21 | INFO     | root | Logs will be saved to logs/app_2025-10-24_12-33-21.log
2025-10-24 12:33:21 | DEBUG    | asyncio | Using selector: KqueueSelector
2025-10-24 12:33:21 | INFO     | flet | Assets path configured: /Users/govindajithkumar/PycharmProjects/FoodBarcodeScanner/assets
2025-10-24 12:33:21 | DEBUG    | flet | Creating new PubSubHub instance
2025-10-24 12:33:21 | DEBUG    | flet | Creating new PubSubHub instance
2025-10-24 12:33:21 | INFO     | flet | Starting up UDS server on /var/folders/8p/3lycjd2d4yj6r4nzff87ynmr0000gn/T/lXe19Nl0Am
2025-10-24 12:33:21 | INFO     | flet | Flet app has started...
2025-10-24 12:33:21 | INFO     | flet | App URL: /var/folders/8p/3lycjd2d4yj6r4nzff87ynmr0000gn/T/lXe19Nl0Am
2025-10-24 12:33:21 | INFO     | flet_desktop | Starting Flet View app...
2025-10-24 12:33:21 | INFO     | flet_desktop | Flet View found in: /Users/govindajithkumar/.flet/bin/flet-0.28.3
2025-10-24 12:33:21 | DEBUG    | flet | Connected new TCP client
2025-10-24 12:33:21 | DEBUG    | flet | _on_message: {"action":"registerWebClient","payload":{"pageName":"var/folders","pageRoute":"/","pageWidth":"800.0","pageHeight":"600.0","windowWidth":"800.0","windowHeight":"628.0","windowTop":"250.0","windowLeft":"455.0","isPWA":"false","isWeb":"false","isDebug":"false","platform":"macos","platformBrightness":"dark","media":"{\"padding\":{\"top\":0.0,\"right\":0.0,\"bottom\":0.0,\"left\":0.0},\"view_padding\":{\"top\":0.0,\"right\":0.0,\"bottom\":0.0,\"left\":0.0},\"view_insets\":{\"top\":0.0,\"right\":0.0,\"bottom\":0.0,\"left\":0.0}}","sessionId":""}}
2025-10-24 12:33:21 | DEBUG    | flet | __send: {"action":"registerWebClient","payload":{"session":{"id":"","controls":{"page":{"i":"page","t":"page","p":"","c":[],"route":"/","width":"800.0","height":"600.0","windowwidth":"800.0","windowheight":"628.0","windowtop":"250.0","windowleft":"455.0","pwa":"false","web":"false","debug":"false","platform":"macos","platformBrightness":"dark","media":"{\"padding\":{\"top\":0.0,\"right\":0.0,\"bottom\":0.0,\"left\":0.0},\"view_padding\":{\"top\":0.0,\"right\":0.0,\"bottom\":0.0,\"left\":0.0},\"view_insets\":{\"top\":0.0,\"right\":0.0,\"bottom\":0.0,\"left\":0.0}}"}}},"error":"","appInactive":false}}
2025-10-24 12:33:21 | DEBUG    | flet | _process_command: get ['page', 'route'] {}
2025-10-24 12:33:21 | DEBUG    | flet | _process_command: get ['page', 'pwa'] {}
2025-10-24 12:33:21 | DEBUG    | flet | _process_command: get ['page', 'web'] {}
